id,nom,latitude,longitude
20245,C.F.P.A.,49.142821,6.171985
20244,RAMON,49.140223,6.17261
20439,LA DAME,49.098537,6.244019
20247,BOILEAU,49.142901,6.169416
20041,SUGNON,49.094047,6.163126
20246,BOILEAU,49.140167,6.172249
20040,SUGNON,49.09431,6.162337
20241,DE CHARDIN,49.144518,6.17181
20436,DOLICHE,49.094534,6.245755
20240,FONTAINES,49.146559,6.171951
20435,CUVION,49.092385,6.242829
20438,LA DAME,49.098897,6.2433
20243,DREYFUS,49.142275,6.172397
20437,DOLICHE,49.094615,6.246003
20242,DE CHARDIN,49.143952,6.172245
20909,FRIERES,49.140403,6.135219
20432,MERCY,49.092108,6.240533
20431,F.I.M.,49.092146,6.234798
20434,CUVION,49.09248,6.242702
20433,MERCY,49.092159,6.240086
20905,LESSY,49.120937,6.094775
20249,CONSTANTINE,49.091231,6.125226
20906,LE QUOITY,49.123278,6.094878
20248,CONSTANTINE,49.091427,6.12623
20907,SCY-CHAZELLES,49.114118,6.116556
20430,F.I.M.,49.092106,6.234914
20908,FRIERES,49.140146,6.135521
20913,ATELIERS MUNICIPAUX,49.14252,6.12179
20912,ATELIERS MUNICIPAUX,49.142488,6.122013
20630,BOUZONVILLE,49.135426,6.213675
20915,LORRY GRAND RUE,49.141806,6.118326
20631,TILLEULS,49.134521,6.209846
20914,LORRY GRAND RUE,49.141735,6.118591
20632,GRIMONT,49.140429,6.217495
20911,CARREFOUR,49.144455,6.127848
20910,CARREFOUR,49.144423,6.127608
20637,YVAN GOLL,49.13491,6.169867
20046,COLSON,49.089859,6.166111
20047,COLSON,49.090385,6.166508
20048,VACONS,49.087508,6.164527
20639,DURUTTE,49.114977,6.1928
20049,VACONS,49.087429,6.1643
20633,JOBA,49.141179,6.16567
20042,LYAUTEY,49.093867,6.167411
20043,LYAUTEY,49.093463,6.168015
20634,METZ-NORD GARE,49.136989,6.168307
20635,METZ-NORD GARE,49.137802,6.167997
20044,JERUSALEM,49.091913,6.167229
20045,JERUSALEM,49.091747,6.167272
20636,YVAN GOLL,49.133603,6.169638
20030,CHARLES PETRE,49.105376,6.166618
20236,BLORY,49.087247,6.166818
20235,BLORY,49.087325,6.167416
20449,STADE,49.13181,6.131997
20232,LE MERCIER,49.088393,6.169687
20448,STADE,49.131664,6.130795
20231,LE MERCIER,49.08877,6.16978
20447,CROIX D'OREE,49.132377,6.125455
20445,LA CROIX,49.128974,6.130409
20443,MOMENE,49.129137,6.127592
20442,LE LAC,49.096216,6.238373
20441,FALOGNE,49.098072,6.240245
20918,CARRIERE,49.16903,6.050299
20440,FALOGNE,49.097961,6.240284
20919,CARRIERE,49.168981,6.049968
20239,FONTAINES,49.14641,6.171613
20916,CHAPELLE,49.141664,6.115763
20238,RICHET,49.148041,6.171433
20917,CHAPELLE,49.141731,6.11564
20926,JUSTICE,49.166546,6.03834
20642,BERNARD,49.11457,6.211416
20925,DOUANIERS,49.16917,6.049078
20643,BERNARD,49.115608,6.210108
20924,DOUANIERS,49.169993,6.047781
20923,AMANVILLERS MAIRIE,49.167352,6.043792
20641,GANNE,49.115622,6.205456
20922,AMANVILLERS MAIRIE,49.167315,6.044089
20921,GRAND RUE,49.16866,6.048524
20039,ST ANDRE,49.096016,6.159141
20920,GRAND RUE,49.168571,6.048406
20037,SEMINAIRE,49.098821,6.161416
20038,ST ANDRE,49.095017,6.159309
20035,VAILLANT,49.100301,6.162633
20649,DEFENSE,49.107425,6.222794
20036,SEMINAIRE,49.097296,6.159947
20033,MANGIN,49.102981,6.164812
