arret_id,ligne_id,direction_id,sequence,accessible,macro_direction
20104,2,15,2,0,0
20288,2,33,21,0,1
20289,2,34,14,0,0
20249,2,35,28,0,1
20284,2,33,23,0,1
20248,2,15,6,0,0
20285,2,34,12,0,0
20286,2,33,22,0,1
20287,2,34,13,0,0
20281,2,34,10,0,0
20306,2,33,9,0,1
20280,2,33,25,0,1
20283,2,34,11,0,0
20282,2,33,24,0,1
20309,2,34,27,0,0
20001,2,33,19,0,1
20307,2,34,26,0,0
20819,2,34,31,0,0
21156,2,34,23,0,0
21425,2,15,34,0,0
21155,2,33,12,0,1
21154,2,34,22,0,0
20817,2,33,7,0,1
20818,2,34,29,0,0
21153,2,33,13,0,1
21157,2,33,11,0,1
20279,2,34,9,0,0
20277,2,34,4,0,0
20278,2,33,26,0,1
20275,2,34,3,0,0
20276,2,32,28,0,1
21422,2,33,2,0,1
20273,2,34,2,0,0
20274,2,32,29,0,1
21424,2,33,3,0,1
20272,2,32,30,0,1
20642,2,34,25,0,0
20271,2,34,1,0,0
21167,2,33,1,0,1
20643,2,33,10,0,1
20270,2,34,7,0,0
20330,2,34,16,0,0
20641,2,34,24,0,0
20332,2,34,17,0,0
20823,2,33,4,0,1
20820,2,33,2,0,1
20644,2,51,11,0,0
20824,2,15,32,0,0
20263,2,34,8,0,0
20262,2,33,27,0,1
20881,2,35,29,0,1
20265,2,32,27,0,1
20264,2,32,24,0,1
20883,2,35,30,0,1
20267,2,32,26,0,1
20061,2,33,18,0,1
20882,2,15,5,0,0
20266,2,34,5,0,0
20269,2,32,25,0,1
20884,2,15,4,0,0
20268,2,34,6,0,0
20324,2,15,33,0,0
20071,2,15,3,0,0
20320,2,33,1,0,1
20329,2,33,35,0,1
20328,2,33,34,0,1
20260,2,33,28,0,1
20326,2,9,1,0,0
20326,2,33,33,0,1
20261,2,34,7,0,0
20254,2,34,4,0,0
20253,2,33,31,0,1
20252,2,33,32,0,1
20251,2,34,2,0,0
20258,2,33,29,0,1
20257,2,34,5,0,0
20256,2,33,30,0,1
20255,2,34,3,0,0
20297,2,33,14,0,1
20298,2,34,21,0,0
20296,2,33,15,0,1
20259,2,34,6,0,0
20080,2,15,1,0,0
20290,2,33,20,0,1
20012,2,34,18,0,0
20310,2,33,8,0,1
20311,2,34,28,0,0
20294,2,34,20,0,0
20292,2,33,16,0,1
20014,2,34,19,0,0
20013,2,33,17,0,1
20291,2,34,15,0,0
20318,2,33,5,0,1
20319,2,15,31,0,0
20666,2,51,10,0,0
20250,2,34,1,0,0
20316,2,33,6,0,1
20317,2,34,30,0,0
20041,1,40,15,0,0
21204,1,40,1,0,0
20040,1,39,8,0,1
20107,1,39,18,0,1
20021,1,40,1,0,0
20002,1,40,5,0,0
20020,1,39,19,0,1
20023,1,40,3,0,0
20022,1,40,2,0,0
20004,1,39,17,0,1
20024,1,40,4,0,0
20165,1,39,20,0,1
20026,1,40,8,0,0
20046,1,40,18,0,0
20029,1,39,14,0,1
20028,1,40,9,0,0
20047,1,39,5,0,1
20048,1,40,19,0,0
20049,1,39,4,0,1
20042,1,40,16,0,0
20043,1,39,7,0,1
20044,1,40,17,0,0
20045,1,39,6,0,1
20030,1,40,10,0,0
20052,1,40,21,0,0
20051,1,39,3,0,1
20050,1,40,20,0,0
20016,1,40,7,0,0
20015,1,39,15,0,1
21189,1,39,16,0,1
20039,1,39,9,0,1
20037,1,39,10,0,1
20038,1,40,14,0,0
20056,1,40,1,0,0
20056,1,39,21,0,1
20035,1,39,11,0,1
20053,1,39,2,0,1
20036,1,40,13,0,0
20054,1,39,1,0,1
20033,1,39,12,0,1
20034,1,40,12,0,0
20110,1,40,6,0,0
20031,1,39,13,0,1
20057,1,39,22,0,1
20032,1,40,11,0,0
20058,1,39,23,0,1
20107,4,30,19,0,1
20192,4,28,17,0,0
20182,4,28,14,0,0
20193,4,30,23,0,1
20181,4,28,12,0,0
20194,4,28,18,0,0
20184,4,28,15,0,0
20195,4,30,22,0,1
20185,4,30,25,0,1
20197,4,30,14,0,1
20196,4,28,24,0,0
20002,4,28,20,0,0
20199,4,30,13,0,1
20208,4,30,9,0,1
20004,4,30,18,0,1
20188,4,28,16,0,0
20198,4,28,25,0,0
20209,4,28,32,0,0
20189,4,30,24,0,1
20206,4,30,10,0,1
20207,4,28,31,0,0
20204,4,30,11,0,1
20205,4,28,30,0,0
20202,4,28,28,0,0
20203,4,28,29,0,0
20200,4,28,26,0,0
20201,4,28,27,0,0
20634,4,82,1,0,0
20236,4,28,37,0,0
20235,4,30,3,0,1
20232,4,28,36,0,0
20231,4,30,4,0,1
20173,4,30,28,0,1
21162,4,30,26,0,1
20172,4,28,10,0,0
20171,4,30,29,0,1
21161,4,28,13,0,0
21160,4,28,11,0,0
20176,4,28,1,0,0
20177,4,82,2,0,0
20175,4,30,27,0,1
20178,4,28,2,0,0
20075,4,28,9,0,0
20162,4,30,31,0,1
20161,4,28,7,0,0
20835,4,30,32,0,1
20228,4,28,35,0,0
20020,4,30,20,0,1
20836,4,28,5,0,0
20837,4,30,33,0,1
20838,4,28,4,0,0
20227,4,30,5,0,1
20831,4,30,35,0,1
20163,4,28,8,0,0
20164,4,30,30,0,1
20165,4,77,14,0,1
20027,4,30,15,0,1
20026,4,28,23,0,0
20834,4,28,6,0,0
20221,4,28,38,0,0
20830,4,28,3,0,0
20224,4,30,12,0,1
20068,4,28,1,0,0
20222,4,30,2,0,1
20223,4,30,1,0,1
20839,4,30,34,0,1
20016,4,28,22,0,0
21189,4,30,17,0,1
20015,4,30,16,0,1
20842,4,28,2,0,0
20843,4,30,36,0,1
20669,4,30,21,0,1
20019,4,28,19,0,0
20210,4,30,8,0,1
20211,4,28,33,0,0
20110,4,28,21,0,0
20212,4,30,7,0,1
20213,4,28,34,0,0
20214,4,30,6,0,1
20384,5,43,3,0,0
20383,5,48,28,0,1
20386,5,43,2,0,0
20105,5,42,1,0,1
20385,5,48,29,0,1
20388,5,43,1,0,0
20387,5,48,30,0,1
20109,5,43,16,0,0
20389,5,43,20,0,0
20093,5,43,9,0,0
20341,5,42,6,0,1
20342,5,43,23,0,0
20094,5,42,20,0,1
20340,5,43,24,0,0
20380,5,43,1,0,0
20346,5,42,9,0,1
20001,5,42,14,0,1
20343,5,42,7,0,1
20382,5,43,4,0,0
20344,5,42,8,0,1
20375,5,42,25,0,1
20374,5,43,4,0,0
20373,5,42,24,0,1
20372,5,43,5,0,0
20379,5,42,27,0,1
20378,5,43,2,0,0
20377,5,42,26,0,1
20376,5,43,3,0,0
20330,5,43,15,0,0
20370,5,43,6,0,0
20371,5,42,23,0,1
20334,5,42,2,0,1
20336,5,42,3,0,1
20337,5,42,4,0,1
20338,5,43,25,0,0
