id,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,dateDebut,dateFin
19,0,0,0,0,0,0,0,20130625,20130830
17,0,0,0,0,0,0,0,20130605,20131002
22,0,0,0,0,0,0,1,20130714,20130825
18,0,0,0,0,0,0,0,20130624,20130830
15,0,0,0,0,0,1,0,20130601,20131005
16,0,0,0,0,0,0,1,20130602,20131006
13,0,0,0,0,0,0,0,20130531,20131004
14,0,0,0,0,0,1,0,20130601,20131005
11,0,0,0,0,0,0,0,20130531,20131004
12,0,0,0,0,0,0,0,20130531,20131004
21,0,1,1,0,1,0,0,20130709,20130823
3,0,1,1,0,1,0,0,20130514,20130529
20,1,1,1,1,1,1,0,20130708,20130824
2,1,1,0,1,1,0,0,20130513,20130528
10,0,0,0,0,0,0,0,20130530,20131004
1,1,1,1,1,1,0,0,20130513,20130529
7,0,0,0,0,0,1,0,20130518,20130525
6,0,0,0,0,1,0,0,20130517,20130524
5,0,0,1,0,1,0,0,20130515,20130529
4,0,0,1,0,0,0,0,20130515,20130529
9,0,0,0,0,0,0,0,20130530,20131004
8,1,0,0,0,0,0,1,20130519,20130526
