id,direction
1,Place De France
2,St Eloy
3,Mahire
4,Route De Boulay
5,Pole Multimodal
6,Maison Neuve
7,St Julien Fort
8,Franclonchamps
9,Republique
10,Mey
11,Coubertin
12,Saulny Centre
13,St-remy
14,Centre Pompidou
15,Hopital Schuman
17,Villers-l'orme
16,Laquenexy
19,Oeillets
18,Deny
21,En Prille
20,Pres St Jacques
23,Scy-chazelles
22,Fort Moselle
25,Tanneurs
24,Gare Sncf
27,Chantrenne
26,Stoxey
29,Marieulles
28,Cugnot
31,Chr Mercy
30,Le Patis
34,Le Goullon
35,Lorraine
32,Tournebride
33,St Pierre
38,Pont De Verdun
39,Cite U
36,Coin Sur Seille
37,Doliche
42,Felix Marechal
43,Queuleu
40,St Privat
41,11ème D'aviation
46,Jean Moulin
47,Borny
44,Enim*
45,Bellevue
51,Bergson
50,Centre Commercial
49,Jp Jean
48,Buchoz
55,Verlaine
54,Grimont
53,Marronniers
52,Alexandre Fleming
59,Jussy - Ste Ruffine
58,Chatel St Germain
57,Preville
56,Aubepine
63,Serot
62,Scarpone
61,Falogne
60,Roosevelt
68,Glissu
69,Rimport
70,Metz-nord Gare
71,Plappeville
64,Prefecture
65,Valery
66,St Maximin
67,Tanneries
76,Giraudoux
77,Saulcy
78,Vaux Mairie
79,Moulins
72,Michelet
73,Bernard
74,Cimetiere De L'est
75,Le Lac
85,Jeanne D'arc
84,Bld Serot
86,Costes Et Bellonte
81,Le Quoity
80,Place D'armes
83,Cloutiers
82,Patrotte
