arret_id,trajet_id,heure_depart,stop_sequence,terminus
20008,2342500,1110,1,0
20331,2342500,1114,2,0
20290,2342500,1115,3,0
20359,2342500,1118,4,0
20361,2342500,1118,5,0
20363,2342500,1118,6,0
20365,2342500,1119,7,0
20089,2342500,1120,8,0
20087,2342500,1121,9,0
20085,2342500,1122,10,0
20083,2342500,1123,11,0
20852,2342500,1124,12,0
20081,2342500,1125,13,0
20069,2342500,1126,14,0
20073,2342500,1128,15,0
20066,2342500,1129,16,0
20064,2342500,1130,17,0
20858,2342500,1131,18,0
21054,2342500,1133,19,1
20064,2384882,430,1,0
20854,2384882,431,2,0
20063,2384882,432,3,0
20065,2384882,434,4,0
20072,2384882,436,5,0
20070,2384882,437,6,0
20082,2384882,438,7,0
20853,2384882,439,8,0
20084,2384882,440,9,0
20086,2384882,441,10,0
20088,2384882,442,11,0
20090,2384882,444,12,0
20364,2384882,448,13,0
20362,2384882,448,14,0
20360,2384882,449,15,0
20358,2384882,451,16,0
20291,2384882,453,17,0
20330,2384882,455,18,0
20109,2384882,457,19,0
20008,2384882,458,20,1
21054,439939,786,1,0
20854,439939,787,2,0
20063,439939,788,3,0
20065,439939,789,4,0
20072,439939,791,5,0
20070,439939,791,6,0
20082,439939,793,7,0
20853,439939,794,8,0
20084,439939,795,9,0
20086,439939,796,10,0
20088,439939,797,11,0
20090,439939,798,12,0
20364,439939,801,13,0
20362,439939,802,14,0
20360,439939,802,15,0
20358,439939,804,16,0
20291,439939,806,17,0
20330,439939,807,18,0
20109,439939,808,19,0
20008,439939,810,20,1
21054,439938,490,1,0
20854,439938,491,2,0
20063,439938,492,3,0
20065,439938,493,4,0
20072,439938,495,5,0
20070,439938,495,6,0
20082,439938,497,7,0
20853,439938,498,8,0
20084,439938,499,9,0
20086,439938,500,10,0
20088,439938,501,11,0
20090,439938,502,12,0
20364,439938,506,13,0
20362,439938,507,14,0
20360,439938,508,15,0
20358,439938,510,16,0
20291,439938,512,17,0
20330,439938,514,18,0
20109,439938,515,19,0
20008,439938,517,20,1
21054,439935,433,1,0
20854,439935,434,2,0
20063,439935,435,3,0
20065,439935,436,4,0
20072,439935,438,5,0
20070,439935,438,6,0
20082,439935,440,7,0
20853,439935,441,8,0
20084,439935,442,9,0
20086,439935,443,10,0
20088,439935,444,11,0
20090,439935,445,12,0
20364,439935,449,13,0
20362,439935,450,14,0
20360,439935,451,15,0
20358,439935,453,16,0
20291,439935,455,17,0
20330,439935,457,18,0
20109,439935,458,19,0
20008,439935,460,20,1
21054,439941,1021,1,0
20854,439941,1022,2,0
20063,439941,1023,3,0
20065,439941,1024,4,0
20072,439941,1026,5,0
20070,439941,1026,6,0
20082,439941,1028,7,0
20853,439941,1029,8,0
20084,439941,1030,9,0
20086,439941,1031,10,0
20088,439941,1032,11,0
20090,439941,1033,12,0
20364,439941,1036,13,0
20362,439941,1037,14,0
20360,439941,1037,15,0
20358,439941,1039,16,0
20291,439941,1041,17,0
20330,439941,1042,18,0
20109,439941,1043,19,0
20008,439941,1045,20,1
21054,439942,1081,1,0
20854,439942,1082,2,0
20063,439942,1083,3,0
20065,439942,1084,4,0
20072,439942,1086,5,0
20070,439942,1086,6,0
20082,439942,1088,7,0
20853,439942,1089,8,0
20084,439942,1090,9,0
20086,439942,1091,10,0
20088,439942,1092,11,0
20090,439942,1093,12,0
20364,439942,1096,13,0
20362,439942,1097,14,0
20360,439942,1097,15,0
20358,439942,1099,16,0
20291,439942,1101,17,0
20330,439942,1102,18,0
20109,439942,1103,19,0
20008,439942,1105,20,1
21054,439940,841,1,0
20854,439940,842,2,0
20063,439940,843,3,0
20065,439940,844,4,0
20072,439940,846,5,0
20070,439940,846,6,0
20082,439940,848,7,0
20853,439940,849,8,0
20084,439940,850,9,0
20086,439940,851,10,0
20088,439940,852,11,0
20090,439940,853,12,0
20364,439940,856,13,0
20362,439940,857,14,0
20360,439940,857,15,0
20358,439940,859,16,0
20291,439940,861,17,0
20330,439940,862,18,0
20109,439940,863,19,0
20008,439940,865,20,1
20008,2342472,990,1,0
20331,2342472,994,2,0
20290,2342472,995,3,0
20359,2342472,998,4,0
20361,2342472,998,5,0
20363,2342472,998,6,0
20365,2342472,999,7,0
20089,2342472,1000,8,0
20087,2342472,1001,9,0
20085,2342472,1002,10,0
20083,2342472,1003,11,0
20852,2342472,1004,12,0
20081,2342472,1005,13,0
20069,2342472,1006,14,0
20073,2342472,1008,15,0
20066,2342472,1009,16,0
20064,2342472,1011,17,0
20858,2342472,1012,18,0
21054,2342472,1014,19,1
20359,2342473,465,1,0
20361,2342473,465,2,0
20363,2342473,465,3,0
20365,2342473,466,4,0
20089,2342473,467,5,0
20087,2342473,468,6,0
20085,2342473,469,7,0
20083,2342473,469,8,0
20852,2342473,470,9,0
20081,2342473,471,10,0
20069,2342473,471,11,0
20073,2342473,473,12,0
20066,2342473,474,13,0
20064,2342473,475,14,0
20858,2342473,476,15,0
21054,2342473,477,16,1
21054,2342474,485,1,0
20854,2342474,487,2,0
20063,2342474,488,3,0
20065,2342474,490,4,0
20072,2342474,493,5,0
20070,2342474,494,6,0
20082,2342474,496,7,0
20853,2342474,497,8,0
20084,2342474,498,9,0
20086,2342474,499,10,0
20088,2342474,501,11,0
20090,2342474,502,12,0
20364,2342474,506,13,0
20362,2342474,507,14,0
20360,2342474,508,15,0
20358,2342474,509,16,0
20291,2342474,512,17,0
20330,2342474,514,18,0
20109,2342474,515,19,0
20008,2342474,516,20,1
21054,2342475,542,1,0
20854,2342475,543,2,0
20063,2342475,544,3,0
20065,2342475,546,4,0
20072,2342475,548,5,0
20070,2342475,548,6,0
20082,2342475,550,7,0
20853,2342475,551,8,0
20084,2342475,552,9,0
20086,2342475,553,10,0
20088,2342475,554,11,0
20090,2342475,555,12,0
20364,2342475,558,13,0
20362,2342475,559,14,0
20360,2342475,559,15,0
20358,2342475,561,16,0
20291,2342475,563,17,0
20330,2342475,564,18,0
20109,2342475,565,19,0
20008,2342475,567,20,1
20008,2342476,745,1,0
20331,2342476,749,2,0
20290,2342476,750,3,0
20359,2342476,753,4,0
20361,2342476,753,5,0
20363,2342476,753,6,0
20365,2342476,754,7,0
20089,2342476,755,8,0
20087,2342476,756,9,0
20085,2342476,757,10,0
20083,2342476,758,11,0
20852,2342476,759,12,0
20081,2342476,760,13,0
