id,nom,latitude,longitude
20571,Glaieuls,49.064183,6.158484
20245,C.f.p.a.,49.142821,6.171985
20439,La Dame,49.098537,6.244019
20807,Michel Ange,49.059369,6.169179
20244,Ramon,49.140223,6.17261
20041,Sugnon,49.094047,6.163126
20573,Camelias,49.06599,6.159558
20247,Boileau,49.142901,6.169416
20040,Sugnon,49.09431,6.162337
20246,Boileau,49.140167,6.172249
20436,Doliche,49.094534,6.245755
20241,De Chardin,49.144518,6.17181
20575,Bleuets,49.066503,6.16446
20240,Fontaines,49.146559,6.171951
20435,Cuvion,49.092385,6.242829
20243,Dreyfus,49.142275,6.172397
20577,Boutan,49.067218,6.169894
20438,La Dame,49.098897,6.2433
20242,De Chardin,49.143952,6.172245
20576,Azalees,49.067353,6.168055
20437,Doliche,49.094615,6.246003
20579,Av. De Magny,49.064101,6.167127
20384,Mirabelles,49.1313,6.145831
20432,Mercy,49.092108,6.240533
20431,F.i.m.,49.092146,6.234798
20383,Les Vignes,49.129115,6.145212
20434,Cuvion,49.09248,6.242702
20180,Vouerie,49.085913,6.155414
20386,La Butte,49.132891,6.147007
20433,Mercy,49.092159,6.240086
20385,Mirabelles,49.131623,6.146175
20182,Eble,49.131899,6.169053
20388,Buchoz,49.135243,6.148576
20249,Constantine,49.091231,6.125226
20181,Dales,49.132355,6.166398
20906,Le Quoity,49.123278,6.094878
20387,La Butte,49.133194,6.147402
20248,Constantine,49.091427,6.12623
20907,Scy-chazelles,49.114118,6.116556
20184,Ste Barbe,49.128726,6.170968
20430,F.i.m.,49.092106,6.234914
20389,Duploye,49.109411,6.189032
20185,Ste Barbe,49.129069,6.170938
20630,Bouzonville,49.135426,6.213675
20631,Tilleuls,49.134521,6.209846
20632,Grimont,49.140429,6.217495
20188,Pontiffroy,49.127256,6.176198
20189,Pontiffroy,49.127513,6.174827
20380,Felix Marechal,49.130181,6.138578
20382,Les Vignes,49.128856,6.145152
20810,Cimetiere De L'est,49.110125,6.199822
20046,Colson,49.089859,6.166111
20637,Yvan Goll,49.13491,6.169867
20047,Colson,49.090385,6.166508
20812,Tcrm,49.127379,6.184542
20048,Vacons,49.087508,6.164527
20639,Durutte,49.113721,6.20259
20811,Tcrm,49.128066,6.18553
20049,Vacons,49.087429,6.1643
20042,Lyautey,49.093867,6.167411
20633,Joba,49.141179,6.16567
20813,Poste Edf (st Julien),49.151962,6.213736
20043,Lyautey,49.093463,6.168015
20634,Metz-nord Gare,49.136989,6.168307
20044,Jerusalem,49.091913,6.167229
20635,Metz-nord Gare,49.137802,6.167997
20815,St Julien Fort,49.140828,6.205776
20045,Jerusalem,49.091747,6.167272
