arret_id,ligne_id,direction_id,sequence,accessible,macro_direction
20104,2,8,2,0,0
20288,2,49,21,0,1
20289,2,50,14,0,0
20284,2,49,23,0,1
20249,2,7,28,0,1
20248,2,8,6,0,0
20285,2,50,12,0,0
20286,2,49,22,0,1
20287,2,50,13,0,0
20306,2,49,9,0,1
20281,2,50,10,0,0
20280,2,49,25,0,1
20283,2,50,11,0,0
20282,2,49,24,0,1
20309,2,50,27,0,0
20001,2,49,19,0,1
20307,2,50,26,0,0
20819,2,50,31,0,0
21425,2,8,34,0,0
21156,2,50,23,0,0
21155,2,49,12,0,1
21154,2,50,22,0,0
20817,2,49,7,0,1
20818,2,50,29,0,0
21153,2,49,13,0,1
21157,2,49,11,0,1
20279,2,50,9,0,0
20277,2,50,4,0,0
20278,2,49,26,0,1
20275,2,50,3,0,0
20276,2,47,28,0,1
21422,2,49,2,0,1
20273,2,50,2,0,0
20274,2,47,29,0,1
21424,2,49,3,0,1
20272,2,47,30,0,1
20642,2,50,25,0,0
20643,2,49,10,0,1
21167,2,49,1,0,1
20271,2,50,1,0,0
20330,2,50,16,0,0
20270,2,50,7,0,0
20641,2,50,24,0,0
20332,2,50,17,0,0
20823,2,49,4,0,1
20820,2,49,2,0,1
20644,2,66,11,0,0
20824,2,8,32,0,0
20263,2,50,8,0,0
20262,2,49,27,0,1
20265,2,47,27,0,1
20881,2,7,29,0,1
20264,2,47,24,0,1
20061,2,49,18,0,1
20267,2,47,26,0,1
20883,2,7,30,0,1
20882,2,8,5,0,0
20266,2,50,5,0,0
20269,2,47,25,0,1
20884,2,8,4,0,0
20268,2,50,6,0,0
20324,2,8,33,0,0
20071,2,8,3,0,0
20320,2,49,1,0,1
20329,2,49,35,0,1
20328,2,49,34,0,1
20260,2,49,28,0,1
20326,2,2,1,0,0
20326,2,49,33,0,1
20261,2,50,7,0,0
20254,2,50,4,0,0
20253,2,49,31,0,1
20252,2,49,32,0,1
20251,2,50,2,0,0
20258,2,49,29,0,1
20257,2,50,5,0,0
20256,2,49,30,0,1
20255,2,50,3,0,0
20297,2,49,14,0,1
20298,2,50,21,0,0
20259,2,50,6,0,0
20296,2,49,15,0,1
20012,2,50,18,0,0
20290,2,49,20,0,1
20310,2,49,8,0,1
20080,2,8,1,0,0
20311,2,50,28,0,0
20294,2,50,20,0,0
20014,2,50,19,0,0
20292,2,49,16,0,1
20291,2,50,15,0,0
20013,2,49,17,0,1
20318,2,49,5,0,1
20319,2,8,31,0,0
20666,2,66,10,0,0
20250,2,50,1,0,0
20316,2,49,6,0,1
20317,2,50,30,0,0
20041,1,13,15,0,0
21204,1,13,1,0,0
20040,1,15,8,0,1
20107,1,15,18,0,1
20021,1,13,1,0,0
20020,1,15,19,0,1
20002,1,13,5,0,0
20023,1,13,3,0,0
20004,1,15,17,0,1
20022,1,13,2,0,0
20024,1,13,4,0,0
20165,1,15,20,0,1
20026,1,13,8,0,0
20029,1,15,14,0,1
20046,1,13,18,0,0
20047,1,15,5,0,1
20028,1,13,9,0,0
20048,1,13,19,0,0
20049,1,15,4,0,1
20042,1,13,16,0,0
20043,1,15,7,0,1
20044,1,13,17,0,0
20045,1,15,6,0,1
20030,1,13,10,0,0
20052,1,13,21,0,0
20051,1,15,3,0,1
20050,1,13,20,0,0
20016,1,13,7,0,0
21189,1,15,16,0,1
20015,1,15,15,0,1
20039,1,15,9,0,1
20037,1,15,10,0,1
20056,1,13,1,0,0
20056,1,15,21,0,1
20038,1,13,14,0,0
20035,1,15,11,0,1
20053,1,15,2,0,1
20036,1,13,13,0,0
20054,1,15,1,0,1
20033,1,15,12,0,1
20034,1,13,12,0,0
20110,1,13,6,0,0
20057,1,15,22,0,1
20031,1,15,13,0,1
20058,1,15,23,0,1
20032,1,13,11,0,0
20107,4,18,19,0,1
20192,4,19,17,0,0
20182,4,19,14,0,0
20193,4,18,23,0,1
20181,4,19,12,0,0
20194,4,19,18,0,0
20184,4,19,15,0,0
20195,4,18,22,0,1
20197,4,18,14,0,1
