arret_id,trajet_id,heure_depart,stop_sequence,terminus
21190,2398176,1332,1,0
21189,2398176,1333,2,0
20004,2398176,1335,3,1
20004,2398177,1335,1,0
20107,2398177,1337,2,0
20020,2398177,1339,3,0
20669,2398177,1339,4,0
20195,2398177,1340,5,0
20193,2398177,1341,6,0
20189,2398177,1342,7,0
20185,2398177,1343,8,0
20181,2398177,1345,9,0
20174,2398177,1347,10,0
20176,2398177,1347,11,0
20635,2398177,1349,12,0
20633,2398177,1350,13,0
20247,2398177,1351,14,0
20242,2398177,1351,15,0
20240,2398177,1352,16,0
20103,2398177,1353,17,1
20103,2398178,1357,1,0
20238,2398178,1358,2,0
20239,2398178,1358,3,0
20241,2398178,1359,4,0
20245,2398178,1359,5,0
20246,2398178,1360,6,0
20636,2398178,1363,7,0
20182,2398178,1363,8,0
20184,2398178,1364,9,0
20188,2398178,1365,10,0
20192,2398178,1367,11,0
20194,2398178,1367,12,0
20019,2398178,1369,13,0
20002,2398178,1375,14,1
20002,2398179,1388,1,0
20110,2398179,1390,2,0
21191,2398179,1392,3,0
20294,2398179,1394,4,0
20298,2398179,1394,5,0
21154,2398179,1395,6,0
21156,2398179,1395,7,0
20641,2398179,1398,8,0
20642,2398179,1399,9,0
20307,2398179,1400,10,0
20309,2398179,1400,11,0
20311,2398179,1401,12,0
20421,2398179,1405,13,0
20422,2398179,1406,14,0
20424,2398179,1407,15,0
20426,2398179,1408,16,0
20428,2398179,1409,17,0
21101,2398179,1410,18,0
20430,2398179,1412,19,0
20432,2398179,1413,20,0
20435,2398179,1414,21,0
20437,2398179,1415,22,0
21081,2398179,1416,23,0
20439,2398179,1416,24,0
20441,2398179,1418,25,1
20441,2398189,1423,1,0
20660,2398189,1423,2,0
20662,2398189,1424,3,0
20433,2398189,1424,4,0
20431,2398189,1425,5,0
21102,2398189,1426,6,0
20429,2398189,1427,7,0
20427,2398189,1427,8,0
20425,2398189,1429,9,0
20423,2398189,1430,10,0
20647,2398189,1431,11,0
20754,2398189,1432,12,0
20310,2398189,1433,13,0
20306,2398189,1435,14,0
20643,2398189,1437,15,0
21157,2398189,1439,16,0
21155,2398189,1442,17,0
21153,2398189,1443,18,0
20297,2398189,1444,19,0
20296,2398189,1445,20,0
20292,2398189,1447,21,0
21190,2398189,1449,22,0
21189,2398189,1450,23,0
20004,2398189,1452,24,1
20002,2398187,1388,1,0
20110,2398187,1390,2,0
21191,2398187,1392,3,0
20294,2398187,1394,4,0
20298,2398187,1394,5,0
21154,2398187,1395,6,0
21156,2398187,1395,7,0
20641,2398187,1398,8,0
20642,2398187,1399,9,0
20307,2398187,1400,10,0
20309,2398187,1400,11,0
20311,2398187,1401,12,0
20421,2398187,1405,13,0
20422,2398187,1406,14,0
20424,2398187,1407,15,0
20426,2398187,1408,16,0
20428,2398187,1409,17,0
21101,2398187,1410,18,0
20430,2398187,1412,19,0
20432,2398187,1413,20,0
20435,2398187,1414,21,0
20437,2398187,1415,22,0
21081,2398187,1416,23,0
20439,2398187,1416,24,0
20441,2398187,1418,25,1
21190,2398188,1332,1,0
21189,2398188,1333,2,0
20004,2398188,1335,3,1
20192,2398186,1317,1,0
20194,2398186,1317,2,0
20019,2398186,1319,3,0
20002,2398186,1325,4,1
20002,2398185,1440,1,0
20110,2398185,1442,2,0
21191,2398185,1444,3,0
20294,2398185,1446,4,0
20298,2398185,1446,5,0
21154,2398185,1447,6,0
21156,2398185,1447,7,0
20641,2398185,1450,8,0
20642,2398185,1451,9,0
20307,2398185,1452,10,0
20309,2398185,1452,11,0
20311,2398185,1453,12,0
20421,2398185,1457,13,0
20422,2398185,1458,14,0
20424,2398185,1459,15,0
20426,2398185,1460,16,0
20428,2398185,1461,17,0
21101,2398185,1462,18,0
20430,2398185,1464,19,0
20432,2398185,1465,20,0
20435,2398185,1466,21,0
20437,2398185,1467,22,0
21081,2398185,1468,23,0
20439,2398185,1468,24,0
20441,2398185,1470,25,1
20103,2398184,1417,1,0
20238,2398184,1418,2,0
20239,2398184,1418,3,0
20241,2398184,1419,4,0
20245,2398184,1419,5,0
20246,2398184,1420,6,0
20636,2398184,1423,7,0
20182,2398184,1423,8,0
20184,2398184,1424,9,0
20188,2398184,1425,10,0
20192,2398184,1427,11,0
20194,2398184,1427,12,0
20019,2398184,1429,13,0
20002,2398184,1435,14,1
20004,2398183,1452,1,0
20107,2398183,1454,2,0
20020,2398183,1456,3,0
20669,2398183,1456,4,0
20195,2398183,1457,5,0
20193,2398183,1458,6,0
20189,2398183,1459,7,0
20185,2398183,1460,8,0
20181,2398183,1462,9,0
20174,2398183,1464,10,0
20176,2398183,1464,11,0
20635,2398183,1466,12,0
20633,2398183,1467,13,0
20247,2398183,1468,14,0
20242,2398183,1468,15,0
20240,2398183,1469,16,0
20103,2398183,1470,17,1
20441,2398182,1366,1,0
20660,2398182,1366,2,0
20662,2398182,1367,3,0
20433,2398182,1367,4,0
20431,2398182,1368,5,0
21102,2398182,1369,6,0
20429,2398182,1370,7,0
20427,2398182,1370,8,0
20425,2398182,1372,9,0
20423,2398182,1373,10,0
20647,2398182,1374,11,0
20754,2398182,1375,12,0
20310,2398182,1376,13,0
20306,2398182,1378,14,0
20643,2398182,1380,15,0
21157,2398182,1382,16,0
21155,2398182,1385,17,0
21153,2398182,1386,18,0
20297,2398182,1387,19,0
20296,2398182,1388,20,0
20292,2398182,1390,21,0
21190,2398182,1392,22,0
21189,2398182,1393,23,0
20004,2398182,1395,24,1
20002,2398181,1328,1,0
20110,2398181,1330,2,0
21191,2398181,1332,3,0
20294,2398181,1334,4,0
20298,2398181,1334,5,0
21154,2398181,1335,6,0
21156,2398181,1335,7,0
20641,2398181,1338,8,0
20642,2398181,1339,9,0
20307,2398181,1340,10,0
20309,2398181,1340,11,0
20311,2398181,1341,12,0
20421,2398181,1345,13,0
20422,2398181,1346,14,0
20424,2398181,1347,15,0
20426,2398181,1348,16,0
20428,2398181,1349,17,0
21101,2398181,1350,18,0
20430,2398181,1352,19,0
20432,2398181,1353,20,0
20435,2398181,1354,21,0
20437,2398181,1355,22,0
21081,2398181,1356,23,0
20439,2398181,1356,24,0
20441,2398181,1358,25,1
20441,2398180,1423,1,0
20660,2398180,1423,2,0
20662,2398180,1424,3,0
20433,2398180,1424,4,0
20431,2398180,1425,5,0
21102,2398180,1426,6,0
20429,2398180,1427,7,0
20427,2398180,1427,8,0
20425,2398180,1429,9,0
20423,2398180,1430,10,0
20647,2398180,1431,11,0
20754,2398180,1432,12,0
20310,2398180,1433,13,0
20306,2398180,1435,14,0
20643,2398180,1437,15,0
21157,2398180,1439,16,0
21155,2398180,1442,17,0
21153,2398180,1443,18,0
20297,2398180,1444,19,0
20296,2398180,1445,20,0
20292,2398180,1447,21,0
21190,2398180,1449,22,0
21189,2398180,1450,23,0
20004,2398180,1452,24,1
20192,2398198,1317,1,0
20194,2398198,1317,2,0
20019,2398198,1319,3,0
20002,2398198,1325,4,1
20002,2398199,1388,1,0
20110,2398199,1390,2,0
21191,2398199,1392,3,0
20294,2398199,1394,4,0
20298,2398199,1394,5,0
21154,2398199,1395,6,0
21156,2398199,1395,7,0
20641,2398199,1398,8,0
20642,2398199,1399,9,0
20307,2398199,1400,10,0
20309,2398199,1400,11,0
20311,2398199,1401,12,0
20421,2398199,1405,13,0
20422,2398199,1406,14,0
20424,2398199,1407,15,0
20426,2398199,1408,16,0
20428,2398199,1409,17,0
21101,2398199,1410,18,0
20430,2398199,1412,19,0
20432,2398199,1413,20,0
20435,2398199,1414,21,0
20437,2398199,1415,22,0
21081,2398199,1416,23,0
20439,2398199,1416,24,0
20441,2398199,1418,25,1
20103,2398195,1417,1,0
20238,2398195,1418,2,0
20239,2398195,1418,3,0
20241,2398195,1419,4,0
20245,2398195,1419,5,0
20246,2398195,1420,6,0
20636,2398195,1423,7,0
20182,2398195,1423,8,0
