id,direction_id,ligne_id,calendrier_id,macro_direction
635417,70,97,1,0
635418,47,97,1,1
635416,70,97,1,0
635419,47,97,1,1
635421,70,97,7,0
635420,47,97,1,1
635425,47,97,7,1
635424,47,97,7,1
635423,47,97,7,1
635422,70,97,7,0
635426,70,97,7,0
635427,70,97,7,0
635428,70,97,7,0
635429,70,97,7,0
635430,70,97,7,0
635432,70,97,1,0
635431,70,97,7,0
635434,70,97,1,0
635433,70,97,1,0
635436,70,97,1,0
635435,70,97,1,0
635439,47,97,1,1
635438,47,97,1,1
635437,70,97,1,0
635446,47,97,7,1
635447,47,97,7,1
635444,47,97,7,1
635445,47,97,7,1
635442,47,97,1,1
635443,47,97,7,1
635440,47,97,1,1
635441,47,97,1,1
635449,70,97,9,0
635448,70,97,9,0
635450,47,97,9,1
635455,70,97,9,0
635456,70,97,9,0
635457,70,97,9,0
635458,70,97,9,0
635451,47,97,9,1
635452,47,97,9,1
635453,70,97,9,0
635454,70,97,9,0
635459,47,97,9,1
635460,47,97,9,1
635461,47,97,9,1
635464,70,97,14,0
635465,70,97,14,0
635462,47,97,9,1
635463,47,97,9,1
635468,47,97,14,1
635469,70,97,14,0
635466,47,97,14,1
635467,47,97,14,1
635470,70,97,14,0
635471,70,97,14,0
635472,70,97,14,0
635473,70,97,14,0
635474,70,97,14,0
635475,47,97,14,1
635476,47,97,14,1
635477,47,97,14,1
635478,47,97,14,1
635479,47,97,14,1
2348000,3,77,14,0
2348003,3,77,14,0
2348004,3,77,14,0
2348001,3,77,14,0
2348002,3,77,14,0
2348008,3,77,14,0
2348007,3,77,14,0
2348006,3,77,14,0
2348005,3,77,14,0
2348009,3,77,14,0
2348010,3,77,14,0
2348011,3,77,14,0
2348012,3,77,14,0
2348013,3,77,14,0
2348014,3,77,14,0
2348015,3,77,14,0
2348017,3,77,14,0
2348016,3,77,14,0
2348019,3,77,14,0
2348018,3,77,14,0
2348025,3,77,14,0
2348026,3,77,14,0
2348023,3,77,14,0
2348024,3,77,14,0
2348021,3,77,14,0
2348022,3,77,14,0
2348020,3,77,14,0
2348029,3,77,14,0
2348028,3,77,14,0
2348027,3,77,14,0
2348034,3,77,14,0
2348035,3,77,14,0
2348036,3,77,14,0
2348037,3,77,14,0
2348030,3,77,14,0
2348031,3,77,14,0
2348032,3,77,14,0
2348033,3,77,14,0
2348038,3,77,14,0
1864816,3,77,20,0
1864817,3,77,20,0
1864818,3,77,20,0
1864819,3,77,20,0
1864810,3,77,20,0
1864811,3,77,20,0
1864812,3,77,20,0
1864813,3,77,20,0
1864814,3,77,20,0
1864815,3,77,20,0
1864829,3,77,20,0
1864827,3,77,20,0
1864828,3,77,20,0
1864821,3,77,20,0
1864822,3,77,20,0
1864820,3,77,20,0
1864825,3,77,20,0
1864826,3,77,20,0
1864823,3,77,20,0
1864824,3,77,20,0
1864838,3,77,20,0
1864839,3,77,20,0
1864834,3,77,20,0
1864835,3,77,20,0
1864836,3,77,20,0
1864837,3,77,20,0
1864830,3,77,20,0
1864831,3,77,20,0
1864832,3,77,20,0
1864833,3,77,20,0
1864845,3,77,20,0
1864843,3,77,20,0
1864844,3,77,20,0
1864841,3,77,20,0
1864842,3,77,20,0
1864840,3,77,20,0
1864802,3,77,20,0
1864801,3,77,20,0
1864804,3,77,20,0
1864803,3,77,20,0
1864800,3,77,20,0
1864809,3,77,20,0
1864806,3,77,20,0
1864805,3,77,20,0
1864808,3,77,20,0
1864807,3,77,20,0
2389402,3,77,7,0
2389403,3,77,7,0
2389404,3,77,7,0
2389405,3,77,7,0
2389400,3,77,7,0
2389401,3,77,7,0
2389406,3,77,7,0
2389407,3,77,7,0
2389408,3,77,7,0
2389409,3,77,7,0
2389435,3,77,7,0
2389432,3,77,7,0
2389431,3,77,7,0
2389434,3,77,7,0
2389433,3,77,7,0
2389430,3,77,7,0
2389418,3,77,7,0
2389417,3,77,7,0
2389419,3,77,7,0
2389410,3,77,7,0
2389412,3,77,7,0
2389411,3,77,7,0
2389414,3,77,7,0
2389413,3,77,7,0
2389416,3,77,7,0
2389415,3,77,7,0
2389429,3,77,7,0
2389428,3,77,7,0
2389423,3,77,7,0
2389422,3,77,7,0
2389421,3,77,7,0
2389420,3,77,7,0
2389427,3,77,7,0
2389426,3,77,7,0
2389425,3,77,7,0
2389424,3,77,7,0
2389378,3,77,1,0
2389379,3,77,1,0
2389376,3,77,1,0
2389377,3,77,1,0
2389375,3,77,1,0
2389374,3,77,1,0
2389373,3,77,1,0
2389372,3,77,1,0
2389371,3,77,1,0
2389370,3,77,1,0
2389387,3,77,1,0
2389388,3,77,1,0
2389389,3,77,1,0
2389384,3,77,1,0
2389383,3,77,1,0
2389386,3,77,1,0
2389385,3,77,1,0
2389380,3,77,1,0
2389382,3,77,1,0
2389381,3,77,1,0
2389398,3,77,7,0
2389399,3,77,7,0
2389393,3,77,7,0
2389392,3,77,7,0
2389391,3,77,7,0
2389390,3,77,7,0
2389397,3,77,7,0
2389396,3,77,7,0
2389395,3,77,7,0
2389394,3,77,7,0
2389346,3,77,1,0
2389345,3,77,1,0
2389344,3,77,1,0
2389349,3,77,1,0
2389348,3,77,1,0
2389347,3,77,1,0
2389363,3,77,1,0
2389364,3,77,1,0
2389361,3,77,1,0
2389362,3,77,1,0
2389360,3,77,1,0
2389369,3,77,1,0
2389368,3,77,1,0
2389367,3,77,1,0
2389366,3,77,1,0
2389365,3,77,1,0
2389350,3,77,1,0
2389351,3,77,1,0
2389352,3,77,1,0
2389353,3,77,1,0
2389359,3,77,1,0
2389358,3,77,1,0
2389355,3,77,1,0
2389354,3,77,1,0
2389357,3,77,1,0
2389356,3,77,1,0
2347949,3,77,9,0
2347948,3,77,9,0
2347947,3,77,9,0
2347971,3,77,9,0
2347970,3,77,9,0
2347976,3,77,9,0
2347977,3,77,9,0
2347978,3,77,9,0
2347979,3,77,9,0
2347972,3,77,9,0
2347973,3,77,9,0
2347974,3,77,9,0
2347975,3,77,9,0
2347982,3,77,9,0
2347981,3,77,9,0
2347980,3,77,9,0
2347989,3,77,9,0
2347987,3,77,9,0
2347988,3,77,9,0
2347985,3,77,9,0
2347986,3,77,9,0
2347983,3,77,9,0
2347984,3,77,9,0
2347958,3,77,9,0
2347959,3,77,9,0
2347950,3,77,9,0
