arret_id,ligne_id,direction_id,sequence,accessible,macro_direction
20104,2,33,2,0,0
20288,2,15,21,0,1
20289,2,33,14,0,0
20284,2,15,23,0,1
20249,2,16,28,0,1
20285,2,33,12,0,0
20248,2,33,6,0,0
20286,2,15,22,0,1
20287,2,33,13,0,0
20281,2,33,10,0,0
20306,2,15,9,0,1
20280,2,15,25,0,1
20283,2,33,11,0,0
20282,2,15,24,0,1
20309,2,33,27,0,0
20001,2,15,19,0,1
20307,2,33,26,0,0
21425,2,33,34,0,0
20819,2,25,31,0,0
21156,2,33,23,0,0
21155,2,15,12,0,1
21154,2,33,22,0,0
20817,2,15,7,0,1
20818,2,33,29,0,0
21153,2,15,13,0,1
21157,2,15,11,0,1
20279,2,33,9,0,0
20277,2,25,4,0,0
20278,2,15,26,0,1
20275,2,25,3,0,0
21422,2,15,2,0,1
20276,2,11,28,0,1
20273,2,25,2,0,0
21424,2,15,3,0,1
20274,2,11,29,0,1
20642,2,33,25,0,0
20272,2,11,30,0,1
21167,2,15,1,0,1
20643,2,15,10,0,1
20271,2,25,1,0,0
20330,2,33,16,0,0
20270,2,25,7,0,0
20641,2,33,24,0,0
20332,2,33,17,0,0
20823,2,15,4,0,1
20820,2,15,2,0,1
20644,2,73,11,0,0
20824,2,33,32,0,0
20263,2,33,8,0,0
20262,2,15,27,0,1
20265,2,11,27,0,1
20881,2,16,29,0,1
20264,2,11,24,0,1
20883,2,16,30,0,1
20061,2,15,18,0,1
20267,2,11,26,0,1
20266,2,25,5,0,0
20882,2,33,5,0,0
20269,2,11,25,0,1
20268,2,25,6,0,0
20884,2,33,4,0,0
20324,2,33,33,0,0
20071,2,33,3,0,0
20320,2,15,1,0,1
20329,2,15,35,0,1
20328,2,15,34,0,1
20260,2,15,28,0,1
20261,2,33,7,0,0
20326,2,12,1,0,0
20326,2,15,33,0,1
20254,2,33,4,0,0
20253,2,15,31,0,1
20252,2,15,32,0,1
20251,2,33,2,0,0
20258,2,15,29,0,1
20257,2,33,5,0,0
20256,2,15,30,0,1
20255,2,33,3,0,0
20297,2,15,14,0,1
20298,2,33,21,0,0
20259,2,33,6,0,0
20296,2,15,15,0,1
20012,2,33,18,0,0
20080,2,33,1,0,0
20290,2,15,20,0,1
20310,2,15,8,0,1
20311,2,33,28,0,0
20294,2,33,20,0,0
20014,2,33,19,0,0
20292,2,15,16,0,1
20291,2,33,15,0,0
20013,2,15,17,0,1
20318,2,15,5,0,1
20319,2,33,31,0,0
20666,2,73,10,0,0
20250,2,33,1,0,0
20316,2,15,6,0,1
20317,2,33,30,0,0
20041,1,23,15,0,0
20040,1,14,8,0,1
21204,1,23,1,0,0
20107,1,14,18,0,1
20021,1,23,1,0,0
20020,1,14,19,0,1
20002,1,23,5,0,0
20023,1,23,3,0,0
20004,1,14,17,0,1
20022,1,23,2,0,0
20024,1,23,4,0,0
20165,1,14,20,0,1
20026,1,23,8,0,0
20029,1,14,14,0,1
20046,1,23,18,0,0
20047,1,14,5,0,1
20028,1,23,9,0,0
20048,1,23,19,0,0
20049,1,14,4,0,1
20042,1,23,16,0,0
20043,1,14,7,0,1
20044,1,23,17,0,0
20045,1,14,6,0,1
20030,1,23,10,0,0
20052,1,23,21,0,0
20051,1,14,3,0,1
20050,1,23,20,0,0
20016,1,23,7,0,0
21189,1,14,16,0,1
20015,1,14,15,0,1
20039,1,14,9,0,1
20037,1,14,10,0,1
20056,1,23,1,0,0
20056,1,14,21,0,1
20038,1,23,14,0,0
20035,1,14,11,0,1
20053,1,14,2,0,1
20036,1,23,13,0,0
20054,1,14,1,0,1
20033,1,14,12,0,1
20034,1,23,12,0,0
20110,1,23,6,0,0
20057,1,14,22,0,1
20031,1,14,13,0,1
20058,1,14,23,0,1
20032,1,23,11,0,0
20107,4,2,19,0,1
20192,4,21,17,0,0
20182,4,21,14,0,0
20181,4,21,12,0,0
20193,4,2,23,0,1
20194,4,21,18,0,0
20184,4,21,15,0,0
20195,4,2,22,0,1
20197,4,2,14,0,1
20185,4,2,25,0,1
20196,4,21,24,0,0
20002,4,21,20,0,0
20199,4,2,13,0,1
20208,4,2,9,0,1
20209,4,21,32,0,0
20198,4,21,25,0,0
20188,4,21,16,0,0
20004,4,2,18,0,1
20189,4,2,24,0,1
20206,4,2,10,0,1
20207,4,21,31,0,0
20204,4,2,11,0,1
20205,4,21,30,0,0
20202,4,21,28,0,0
20203,4,21,29,0,0
20200,4,21,26,0,0
20201,4,21,27,0,0
20634,4,79,1,0,0
20236,4,21,37,0,0
20235,4,2,3,0,1
20232,4,21,36,0,0
20231,4,2,4,0,1
20173,4,2,28,0,1
21162,4,2,26,0,1
20172,4,21,10,0,0
21161,4,21,13,0,0
20171,4,2,29,0,1
21160,4,21,11,0,0
20176,4,21,1,0,0
20177,4,79,2,0,0
20175,4,2,27,0,1
20178,4,21,2,0,0
20075,4,21,9,0,0
20162,4,2,31,0,1
20161,4,21,7,0,0
20228,4,21,35,0,0
20835,4,2,32,0,1
20020,4,2,20,0,1
20836,4,21,5,0,0
20837,4,2,33,0,1
20227,4,2,5,0,1
20838,4,21,4,0,0
20831,4,2,35,0,1
20163,4,21,8,0,0
20164,4,2,30,0,1
20165,4,57,14,0,1
20027,4,2,15,0,1
20026,4,21,23,0,0
20834,4,21,6,0,0
20221,4,21,38,0,0
20830,4,21,3,0,0
20224,4,2,12,0,1
20068,4,21,1,0,0
20222,4,2,2,0,1
20223,4,2,1,0,1
20839,4,2,34,0,1
20016,4,21,22,0,0
21189,4,2,17,0,1
20015,4,2,16,0,1
20842,4,21,2,0,0
20843,4,2,36,0,1
20019,4,21,19,0,0
20669,4,2,21,0,1
20210,4,2,8,0,1
20211,4,21,33,0,0
20110,4,21,21,0,0
20212,4,2,7,0,1
20213,4,21,34,0,0
20214,4,2,6,0,1
20384,5,37,3,0,0
20383,5,31,28,0,1
20386,5,37,2,0,0
20105,5,32,1,0,1
20385,5,31,29,0,1
20388,5,37,1,0,0
20387,5,31,30,0,1
20109,5,37,16,0,0
20389,5,37,20,0,0
20341,5,32,6,0,1
20093,5,37,9,0,0
20342,5,37,23,0,0
20094,5,32,20,0,1
20340,5,37,24,0,0
20346,5,32,9,0,1
20380,5,37,1,0,0
20001,5,32,14,0,1
20343,5,32,7,0,1
20382,5,37,4,0,0
20344,5,32,8,0,1
20375,5,32,25,0,1
20374,5,37,4,0,0
20373,5,32,24,0,1
20372,5,37,5,0,0
20379,5,32,27,0,1
20378,5,37,2,0,0
20377,5,32,26,0,1
20376,5,37,3,0,0
20330,5,37,15,0,0
20370,5,37,6,0,0
20371,5,32,23,0,1
20334,5,32,2,0,1
20336,5,32,3,0,1
20337,5,32,4,0,1
20338,5,37,25,0,0
20339,5,32,5,0,1
20061,5,32,13,0,1
20369,5,32,22,0,1
20366,5,37,8,0,0
20365,5,32,19,0,1
20368,5,37,7,0,0
20367,5,32,21,0,1
20362,5,37,11,0,0
20361,5,32,17,0,1
20364,5,37,10,0,0
20363,5,32,18,0,1
20360,5,37,12,0,0
20394,5,37,28,0,0
20359,5,32,16,0,1
20395,5,37,29,0,0
20358,5,37,13,0,0
20295,5,37,19,0,0
20296,5,32,10,0,1
20290,5,32,15,0,1
20012,5,37,17,0,0
20014,5,37,18,0,0
20292,5,32,11,0,1
20013,5,32,12,0,1
20291,5,37,14,0,0
20393,5,37,27,0,0
20392,5,37,26,0,0
20391,5,37,22,0,0
20390,5,37,21,0,0
20100,3,5,29,0,1
20102,3,5,28,0,1
20107,3,5,25,0,1
20197,3,5,20,0,1
20196,3,10,23,0,0
20063,3,10,3,0,0
20160,3,5,6,0,1
20165,3,5,27,0,1
21054,3,10,1,0,0
20064,3,5,43,0,1
20065,3,10,4,0,0
20066,3,5,42,0,1
20067,3,10,37,0,0
20069,3,5,40,0,1
20151,3,5,2,0,1
20150,3,5,1,0,1
20158,3,5,5,0,1
20159,3,10,33,0,0
20156,3,5,4,0,1
20157,3,10,34,0,0
20154,3,5,3,0,1
21189,3,5,23,0,1
20155,3,10,35,0,0
20152,3,10,37,0,0
20153,3,10,36,0,0
20140,3,10,39,0,0
20098,3,10,16,0,0
20097,3,5,30,0,1
20099,3,10,17,0,0
20093,3,5,32,0,1
20853,3,10,8,0,0
20854,3,10,2,0,0
20094,3,10,14,0,0
20095,3,5,31,0,1
20096,3,10,15,0,0
20858,3,5,44,0,1
20090,3,10,12,0,0
20091,3,5,33,0,1
20859,3,10,1,0,0
20092,3,10,13,0,0
20142,3,10,40,0,0
20141,3,5,4,0,1
20144,3,10,41,0,0
20143,3,5,3,0,1
20145,3,5,2,0,1
20850,3,10,33,0,0
20009,3,10,19,0,0
20851,3,5,10,0,1
20148,3,5,6,0,1
20852,3,5,38,0,1
20008,3,5,24,0,1
20866,3,53,45,0,1
20867,3,10,5,0,0
20139,3,5,5,0,1
20864,3,10,3,0,0
20865,3,10,2,0,0
20138,3,10,38,0,0
20133,3,5,8,0,1
20132,3,10,35,0,0
20131,3,5,9,0,1
20130,3,10,34,0,0
20862,3,55,45,0,1
20863,3,10,2,0,0
20135,3,5,7,0,1
20861,3,10,4,0,0
20134,3,10,36,0,0
20076,3,10,1,0,0
20078,3,43,43,0,1
20077,3,10,2,0,0
20828,3,10,1,0,0
20079,3,43,42,0,1
20020,3,5,26,0,1
20070,3,10,6,0,0
20071,3,43,41,0,1
20128,3,10,32,0,0
20790,3,5,1,0,1
20127,3,5,12,0,1
20072,3,10,5,0,0
20024,3,10,18,0,0
20073,3,5,41,0,1
20027,3,5,21,0,1
20074,3,43,44,0,1
20129,3,5,11,0,1
20026,3,10,22,0,0
20124,3,10,30,0,0
20123,3,5,14,0,1
20126,3,10,31,0,0
20125,3,5,13,0,1
20120,3,10,28,0,0
20122,3,10,29,0,0
20121,3,5,15,0,1
20089,3,5,34,0,1
20088,3,10,11,0,0
20087,3,5,35,0,1
20086,3,10,10,0,0
20080,3,10,3,0,0
20081,3,5,39,0,1
20016,3,10,21,0,0
20119,3,5,16,0,1
20084,3,10,9,0,0
20085,3,5,36,0,1
20015,3,5,22,0,1
20118,3,10,27,0,0
20117,3,5,17,0,1
20082,3,10,7,0,0
20083,3,5,37,0,1
20116,3,10,26,0,0
20115,3,5,18,0,1
20019,3,12,1,0,0
20114,3,10,25,0,0
20113,3,5,19,0,1
20112,3,10,24,0,0
20110,3,10,20,0,0
20439,6,22,28,0,0
20436,6,12,5,0,1
20435,6,22,25,0,0
20438,6,12,3,0,1
20437,6,22,26,0,0
20432,6,22,24,0,0
20431,6,12,8,0,1
20434,6,12,6,0,1
21101,6,22,22,0,0
20433,6,12,7,0,1
21102,6,12,9,0,1
20430,6,22,23,0,0
20400,6,22,7,0,0
20401,6,12,24,0,1
20408,6,22,11,0,0
20409,6,12,20,0,1
20406,6,22,10,0,0
20407,6,12,21,0,1
20442,6,12,1,0,1
20404,6,22,9,0,0
20441,6,22,29,0,0
20405,6,12,22,0,1
20440,6,12,2,0,1
20402,6,22,8,0,0
20403,6,12,23,0,1
20410,6,22,12,0,0
20411,6,12,19,0,1
20412,6,12,18,0,1
20413,6,22,13,0,0
20414,6,12,17,0,1
20415,6,22,14,0,0
20416,6,12,16,0,1
21190,6,12,29,0,1
20417,6,22,15,0,0
20418,6,12,15,0,1
20419,6,22,16,0,0
21191,6,22,3,0,0
20398,6,22,6,0,0
20399,6,12,25,0,1
20422,6,22,18,0,0
20397,6,12,26,0,1
20423,6,12,13,0,1
20420,6,12,14,0,1
20421,6,22,17,0,0
20426,6,22,20,0,0
21081,6,22,27,0,0
20427,6,12,11,0,1
20424,6,22,19,0,0
20295,6,22,4,0,0
20296,6,12,27,0,1
21080,6,12,4,0,1
20425,6,12,12,0,1
20428,6,22,21,0,0
20429,6,12,10,0,1
20011,6,22,1,0,0
21189,6,12,30,0,1
20292,6,12,28,0,1
20017,6,22,5,0,0
20110,6,22,2,0,0
20100,8,7,28,0,1
20102,8,7,27,0,1
20470,8,29,7,0,0
20107,8,7,24,0,1
20384,8,7,35,0,1
20383,8,29,3,0,0
20386,8,7,34,0,1
20106,8,29,2,0,0
20385,8,29,4,0,0
20192,8,12,17,0,1
20388,8,7,33,0,1
20387,8,29,5,0,0
20194,8,12,18,0,1
20099,8,29,11,0,0
20478,8,29,16,0,0
20500,8,7,5,0,1
20475,8,7,30,0,1
20476,8,29,1,0,0
20473,8,7,31,0,1
20474,8,29,9,0,0
20380,8,29,2,0,0
20471,8,7,32,0,1
20472,8,29,8,0,0
20382,8,7,36,0,1
20506,8,7,3,0,1
20505,8,29,29,0,0
20508,8,7,1,0,1
20507,8,29,30,0,0
20501,8,29,28,0,0
20504,8,7,4,0,1
20009,8,29,13,0,0
20008,8,7,23,0,1
20481,8,29,17,0,0
20480,8,7,16,0,1
20486,8,7,13,0,1
20487,8,29,20,0,0
20488,8,29,21,0,0
20175,8,77,1,0,0
20489,8,7,12,0,1
20482,8,7,15,0,1
20483,8,29,18,0,0
20484,8,7,14,0,1
20485,8,29,19,0,0
20136,8,29,10,0,0
20516,8,7,18,0,1
20518,8,7,29,0,1
20459,8,39,38,0,1
20519,8,7,37,0,1
20512,8,29,23,0,0
20513,8,7,10,0,1
20514,8,7,17,0,1
20510,8,7,2,0,1
20454,8,29,1,0,0
21190,8,7,21,0,1
20492,8,7,9,0,1
20491,8,7,11,0,1
20490,8,29,22,0,0
21191,8,29,15,0,0
20495,8,29,25,0,0
20496,8,7,7,0,1
20020,8,7,25,0,1
20493,8,29,24,0,0
20494,8,7,8,0,1
20499,8,29,27,0,0
20024,8,29,12,0,0
20165,8,7,26,0,1
20497,8,29,26,0,0
20498,8,7,6,0,1
20469,8,39,33,0,1
20468,8,29,6,0,0
20463,8,29,4,0,0
20462,8,39,36,0,1
20461,8,29,3,0,0
20460,8,39,37,0,1
20467,8,39,34,0,1
20466,8,29,6,0,0
20465,8,29,5,0,0
20464,8,39,35,0,1
20350,8,7,19,0,1
21189,8,7,22,0,1
20292,8,7,20,0,1
20019,8,12,1,0,0
20019,8,12,19,0,1
20110,8,29,14,0,0
21220,10,14,2,0,1
21204,10,17,1,0,0
20107,10,14,21,0,1
21101,10,17,22,0,0
21102,10,14,3,0,1
21190,10,14,18,0,1
20418,10,14,8,0,1
21095,10,14,1,0,1
20559,10,14,9,0,1
20558,10,17,16,0,0
20389,10,17,9,0,0
21191,10,17,7,0,0
20021,10,17,1,0,0
20341,10,14,12,0,1
20342,10,17,12,0,0
20020,10,14,22,0,1
20023,10,17,3,0,0
20340,10,17,13,0,0
20022,10,17,2,0,0
20004,10,14,20,0,1
20024,10,17,4,0,0
20346,10,14,15,0,1
20343,10,14,13,0,1
20165,10,14,23,0,1
20344,10,14,14,0,1
20147,10,14,6,0,1
20565,10,17,17,0,0
20564,10,17,19,0,0
20561,10,17,18,0,0
20560,10,14,7,0,1
20426,10,17,20,0,0
20427,10,14,5,0,1
20295,10,17,8,0,0
20296,10,14,16,0,1
21219,10,17,23,0,0
20428,10,17,21,0,0
20429,10,14,4,0,1
21166,10,17,15,0,0
21164,10,17,14,0,0
20010,10,17,5,0,0
21165,10,14,10,0,1
21189,10,14,19,0,1
20292,10,14,17,0,1
20056,10,14,24,0,1
20391,10,17,11,0,0
20390,10,17,10,0,0
20339,10,14,11,0,1
20110,10,17,6,0,0
20057,10,14,25,0,1
20058,10,14,26,0,1
21106,36,44,4,0,1
21107,36,8,8,0,0
21108,36,8,9,0,0
21109,36,44,3,0,1
20103,36,44,1,0,1
21185,36,8,4,0,0
21170,36,8,5,0,0
20829,36,8,1,0,0
21171,36,44,7,0,1
21104,36,44,5,0,1
21105,36,8,7,0,0
20846,36,44,2,0,1
20847,36,8,10,0,0
20831,36,44,9,0,1
20844,36,8,2,0,0
20832,36,44,6,0,1
20845,36,44,10,0,1
20833,36,8,6,0,0
21186,36,44,8,0,1
20830,36,8,3,0,0
20245,12,4,5,0,0
20244,12,8,38,0,1
21202,12,8,37,0,1
21203,12,8,37,0,1
20247,12,8,36,0,1
20246,12,4,5,0,0
20103,12,4,1,0,0
20241,12,4,4,0,0
20436,12,8,1,0,1
20240,12,8,38,0,1
20435,12,4,35,0,0
20243,12,8,39,0,1
20102,12,77,20,0,1
20242,12,8,37,0,1
20107,12,8,26,0,1
20434,12,8,2,0,1
20182,12,4,9,0,0
20192,12,4,12,0,0
20193,12,8,30,0,1
20184,12,4,10,0,0
20194,12,4,13,0,0
20195,12,8,29,0,1
20185,12,8,32,0,1
20306,12,8,15,0,1
20303,12,77,12,0,1
20004,12,8,25,0,1
20188,12,4,11,0,0
20189,12,8,31,0,1
20307,12,4,24,0,0
20637,12,8,33,0,1
20633,12,8,35,0,1
20634,12,4,7,0,0
20300,12,77,13,0,1
20635,12,8,34,0,1
20636,12,4,8,0,0
21156,12,4,21,0,0
21155,12,8,18,0,1
21154,12,4,20,0,0
21153,12,8,19,0,1
21157,12,8,17,0,1
21163,12,4,6,0,0
20441,12,4,32,0,0
20239,12,4,3,0,0
20440,12,8,5,0,1
20238,12,4,2,0,0
20642,12,4,23,0,0
20643,12,8,16,0,1
20641,12,4,22,0,0
20649,12,8,11,0,1
21068,12,77,18,0,1
20647,12,8,12,0,1
20644,12,4,25,0,0
20680,12,77,19,0,1
20645,12,8,13,0,1
21190,12,8,23,0,1
21191,12,4,17,0,0
20167,12,4,6,0,0
20020,12,8,27,0,1
21398,12,4,30,0,0
20754,12,4,26,0,0
21399,12,8,7,0,1
20652,12,4,27,0,0
20653,12,8,10,0,1
20654,12,8,9,0,1
20655,12,4,28,0,0
20656,12,4,29,0,0
20657,12,8,8,0,1
20658,12,4,31,0,0
20659,12,8,6,0,1
20297,12,8,20,0,1
20298,12,4,19,0,0
20296,12,8,21,0,1
20660,12,4,33,0,0
20661,12,8,4,0,1
20010,12,4,15,0,0
20294,12,4,18,0,0
21189,12,8,24,0,1
20292,12,8,22,0,1
20662,12,4,34,0,0
20663,12,8,3,0,1
20669,12,8,28,0,1
20019,12,4,14,0,0
20667,12,8,14,0,1
20110,12,4,16,0,0
20534,9,20,9,0,1
20535,9,1,22,0,0
20536,9,20,10,0,1
20537,9,1,21,0,0
20538,9,20,11,0,1
20539,9,1,20,0,0
20530,9,20,7,0,1
20531,9,1,24,0,0
20109,9,1,14,0,0
20532,9,20,8,0,1
20533,9,1,23,0,0
20478,9,1,17,0,0
20001,9,20,20,0,1
20030,9,20,23,0,1
20547,9,1,6,0,0
20548,9,20,28,0,1
20545,9,1,7,0,0
20546,9,20,27,0,1
20549,9,1,5,0,0
20540,9,20,12,0,1
20543,9,1,18,0,0
20544,9,20,26,0,1
20541,9,1,19,0,0
20542,9,20,13,0,1
20330,9,1,13,0,0
20037,9,1,8,0,0
20035,9,1,9,0,0
20033,9,1,10,0,0
20137,9,20,1,0,1
20034,9,20,25,0,1
20031,9,1,11,0,0
20032,9,20,24,0,1
20553,9,1,3,0,0
20516,9,20,15,0,1
20552,9,20,30,0,1
20555,9,1,2,0,0
20554,9,20,31,0,1
20061,9,20,19,0,1
20551,9,1,4,0,0
20514,9,20,14,0,1
20550,9,20,29,0,1
20556,9,1,1,0,0
20029,9,1,12,0,0
20028,9,20,22,0,1
20529,9,1,25,0,0
20527,9,1,26,0,0
20528,9,20,6,0,1
20525,9,1,27,0,0
20526,9,20,5,0,1
20523,9,1,28,0,0
20524,9,20,4,0,1
20521,9,1,29,0,0
20522,9,20,3,0,1
20520,9,20,2,0,1
20350,9,20,16,0,1
20290,9,20,21,0,1
20012,9,1,15,0,0
20014,9,1,16,0,0
20292,9,20,17,0,1
20013,9,20,18,0,1
20571,11,12,10,0,1
20601,11,12,19,0,1
20600,11,3,15,0,0
20807,11,12,3,0,1
20573,11,12,9,0,1
20603,11,12,20,0,1
20602,11,3,14,0,0
20575,11,12,8,0,1
20605,11,12,21,0,1
20604,11,3,13,0,0
20577,11,12,6,0,1
20607,11,12,22,0,1
20606,11,3,12,0,0
20576,11,12,7,0,1
20579,11,12,5,0,1
20007,11,3,1,0,0
20584,11,12,2,0,1
20030,11,3,4,0,0
20588,11,3,20,0,0
20587,11,12,13,0,1
20586,11,3,21,0,0
20589,11,12,14,0,1
20330,11,12,32,0,1
20039,11,12,26,0,1
20037,11,12,27,0,1
20035,11,12,28,0,1
20036,11,3,7,0,0
20033,11,12,29,0,1
20034,11,3,6,0,0
20580,11,12,4,0,1
20031,11,12,30,0,1
20032,11,3,5,0,0
20591,11,12,15,0,1
20590,11,3,19,0,0
20166,11,12,1,0,1
20029,11,12,31,0,1
20598,11,3,16,0,0
20028,11,3,3,0,0
20599,11,12,18,0,1
20596,11,3,17,0,0
20597,11,12,17,0,1
20592,11,3,18,0,0
20593,11,12,16,0,1
20566,11,3,22,0,0
20614,11,3,8,0,0
20613,11,12,25,0,1
20612,11,3,9,0,0
20611,11,12,24,0,1
20610,11,3,10,0,0
20569,11,12,11,0,1
20567,11,12,12,0,1
20290,11,3,2,0,0
20608,11,3,11,0,0
20609,11,12,23,0,1
20516,13,12,9,0,1
20627,13,41,14,0,0
20626,13,41,13,0,0
20629,13,41,15,0,0
20629,13,12,1,0,1
20061,13,12,13,0,1
20623,13,41,10,0,0
20514,13,12,8,0,1
20625,13,41,12,0,0
20624,13,41,11,0,0
20621,13,41,9,0,0
20620,13,41,8,0,0
20478,13,41,3,0,0
20630,13,41,16,0,0
20630,13,12,2,0,1
20169,13,13,3,0,0
20631,13,13,2,0,0
20631,13,12,2,0,1
20632,13,13,1,0,0
20632,13,12,1,0,1
21008,13,13,4,0,0
21007,13,41,6,0,0
20937,13,13,5,0,0
20936,13,41,5,0,0
20619,13,12,3,0,1
20813,13,41,1,0,0
20815,13,41,2,0,0
20618,13,41,7,0,0
20617,13,12,4,0,1
20616,13,41,6,0,0
20996,13,41,2,0,0
20615,13,12,5,0,1
20540,13,12,6,0,1
20938,13,41,4,0,0
20939,13,13,6,0,0
20543,13,41,4,0,0
20541,13,41,5,0,0
20350,13,12,10,0,1
20542,13,12,7,0,1
20012,13,41,1,0,0
20012,13,68,1,0,1
20942,13,41,1,0,0
20941,13,13,7,0,0
20292,13,12,11,0,1
20014,13,41,2,0,0
20013,13,12,12,0,1
20940,13,41,3,0,0
20458,7,30,13,0,0
20100,7,30,6,0,0
20102,7,30,5,0,0
20107,7,30,2,0,0
20450,7,12,4,0,1
20452,7,12,10,0,1
20451,7,30,14,0,0
20098,7,12,11,0,1
20454,7,30,16,0,0
20453,7,30,8,0,0
20097,7,30,7,0,0
20099,7,12,12,0,1
20020,7,30,3,0,0
20024,7,12,13,0,1
20165,7,30,4,0,0
21077,7,12,5,0,1
20008,7,30,1,0,0
20449,7,30,15,0,0
20448,7,30,17,0,0
20447,7,30,18,0,0
20375,7,30,10,0,0
20445,7,12,3,0,1
20374,7,12,8,0,1
20373,7,30,9,0,0
20443,7,12,2,0,1
20372,7,12,9,0,1
20379,7,30,12,0,0
20378,7,12,6,0,1
20377,7,30,11,0,0
20376,7,12,7,0,1
20018,7,12,1,0,1
20245,20,12,5,0,0
20439,20,82,24,0,0
20247,20,8,14,0,1
