arretId,correspondanceId,distance
20245,20247,188
20245,20241,189
20245,20243,68
20245,20242,127
20245,10117,68
20245,10119,0
20245,10116,157
20245,10120,166
20245,21202,0
20245,21203,0
10708,21398,5
10708,21399,5
20244,20246,27
20244,10118,14
20244,10120,195
20244,21163,27
20439,20438,66
20439,20658,171
20439,10338,197
20439,10219,33
10709,21391,55
10709,21400,55
20247,20245,188
20247,10119,188
20247,10120,184
20247,21202,188
20247,21203,188
20041,20040,65
20041,10016,32
20246,20244,27
20246,10118,13
20246,10120,184
20246,21163,0
20040,20041,65
20040,10016,32
20241,20245,189
20241,20242,70
20241,10119,189
20241,10116,35
20241,21202,189
20241,21203,189
20436,20437,20
20436,21080,192
20436,10218,10
20435,20432,170
20435,20434,14
20435,20662,170
20435,10340,185
20435,10216,186
20435,10217,7
20240,20239,30
20240,20238,169
20240,10081,181
20240,10114,169
20240,10115,15
20240,10636,181
20240,20103,181
20240,21245,181
20438,20439,66
20438,20658,112
20438,20659,177
20438,10338,144
20438,10219,33
20243,20245,68
20243,20242,187
20243,10117,0
20243,10119,68
20243,10120,141
20243,21202,68
20243,21203,68
20437,20436,20
20437,21080,183
20437,10556,195
20437,10218,10
20242,20245,127
20242,20241,70
20242,20243,187
20242,10117,187
20242,10119,127
20242,10116,35
20242,21202,127
20242,21203,127
20909,20908,36
20909,10468,18
20432,20435,170
20432,20434,164
20432,20433,33
20432,20662,31
20432,20663,78
20432,10340,54
20432,10216,17
20432,10217,167
20431,20430,10
20431,10215,5
20434,20435,14
20434,20432,164
20434,20433,194
20434,20662,161
20434,20663,191
20434,10340,175
20434,10216,179
20434,10217,7
20433,20432,33
20433,20434,194
20433,20662,40
20433,20663,66
20433,10340,49
20433,10216,17
20433,10217,198
20905,20904,0
20905,10465,0
20249,20248,77
20249,20276,168
20249,20274,194
20249,10135,200
20249,10136,195
20249,10121,72
20249,10162,194
20249,20329,140
20249,20328,194
20248,20249,77
20248,20277,164
20248,20276,121
20248,10136,141
20248,10121,6
20248,20329,64
20906,10466,0
20907,10467,0
20430,20431,10
20430,10215,5
20908,20909,36
20908,10468,18
20913,20912,17
20913,10470,8
20630,20686,183
20630,10320,176
20630,10321,0
20630,20629,170
20912,20913,17
20912,10470,8
20631,10322,0
20915,20914,21
20915,20916,188
20915,20917,196
20915,10471,10
20915,10472,192
20632,10323,0
20914,20915,21
20914,10471,10
20911,20910,18
20911,10469,9
10710,20959,198
10710,21100,167
10710,21401,6
10710,21402,6
10710,10496,182
20910,20911,18
20910,10469,9
20046,20047,65
20046,10019,33
20637,20636,146
20637,10326,73
20637,20178,199
20047,20046,65
20047,20044,178
20047,20045,161
20047,10018,170
20047,10019,33
20639,10327,0
20639,10598,30
20639,10597,197
20639,21156,0
20639,21155,59
20639,21154,176
20048,20049,19
20048,20236,170
20048,20221,170
20048,20222,131
20048,10113,191
20048,10107,150
20048,10020,9
20049,20048,19
20049,20236,185
20049,20221,154
20049,20222,117
20049,10107,134
20049,10020,9
20042,20043,63
20042,20213,184
20042,20214,199
20042,10103,191
20042,10017,31
20633,10324,20
20633,20167,40
10716,21412,0
10716,21413,0
20043,20042,63
20043,20044,182
20043,20045,198
20043,20213,136
20043,20214,145
20043,10103,140
20043,10017,31
20043,10018,190
20634,20635,93
20634,10325,47
20635,20634,93
20635,10325,47
20044,20047,178
20044,20043,182
20044,20045,19
20044,20228,188
20044,20227,197
20044,10111,192
20044,10017,198
20044,10018,9
20636,20637,146
20636,10088,194
20636,10086,116
20636,10326,73
20636,20182,194
20636,20178,113
20636,21161,127
20045,20047,161
20045,20043,198
20045,20044,19
20045,20228,180
20045,20227,189
20045,10111,185
20045,10018,9
20045,10019,194
20030,20031,29
20030,10011,14
20236,20048,170
20236,20049,185
20236,20235,45
20236,10113,22
20236,10020,177
20235,20236,45
20235,10113,22
20449,20448,89
20449,20459,188
20449,20451,160
20449,10225,45
20449,10230,200
20232,20231,42
20232,10112,21
20448,20449,89
20448,10225,45
20231,20232,42
20231,10112,21
20447,10224,0
20445,20450,190
20445,10223,0
20443,10222,0
10098,10097,189
10098,10096,173
10098,20204,63
10098,20202,189
10098,20203,63
10098,20201,173
20442,20660,154
20442,20661,87
20442,10339,120
20442,10221,0
10099,20206,14
10099,20205,14
20441,20440,13
20441,10220,6
20918,20919,25
20918,20925,90
