id,direction
1,MEY
2,LE PATIS
3,ALEXANDRE FLEMING
4,DOLICHE
5,MAISON NEUVE
6,BORNY
7,DENY
8,ST ELOY
9,MAHIRE
10,AUBEPINE
11,TOURNEBRIDE
12,REPUBLIQUE
13,VILLERS-L'ORME
14,CITE U
15,ST PIERRE
17,CHR MERCY
16,LORRAINE
19,PREFECTURE
18,BERNARD
21,CUGNOT
20,COUBERTIN
23,ST PRIVAT
22,LE LAC
25,LE GOULLON
24,POLE MULTIMODAL
27,Centre POMPIDOU
26,BLD SEROT
29,OEILLETS
28,MOULINS
31,BUCHOZ
30,PLAPPEVILLE
34,EN PRILLE
35,LE QUOITY
32,FELIX MARECHAL
33,HOPITAL SCHUMAN
38,VAUX MAIRIE
39,PRES ST JACQUES
36,JEAN MOULIN
37,QUEULEU
42,ROUTE DE BOULAY
43,PREVILLE
40,MARRONNIERS
41,GRIMONT
46,ST JULIEN FORT
47,FRANCLONCHAMPS
44,PLACE DE FRANCE
45,SCY-CHAZELLES
51,CHANTRENNE
50,ST-REMY
49,MARIEULLES
48,SAULNY CENTRE
55,CHATEL ST GERMAIN
54,LAQUENEXY
53,JUSSY - Ste RUFFINE
52,BELLEVUE
59,VALERY
58,ROOSEVELT
57,SAULCY
56,COIN SUR SEILLE
63,SEROT
62,ST MAXIMIN
61,CENTRE COMMERCIAL
60,GARE SNCF
68,VERLAINE
69,GLISSU
70,PONT DE VERDUN
71,TANNEURS
64,RIMPORT
65,ENIM*
66,STOXEY
67,SCARPONE
76,11ème D'AVIATION
77,FORT MOSELLE
78,GIRAUDOUX
79,PATROTTE
72,PLACE D'ARMES
73,BERGSON
74,MICHELET
75,JEANNE D'ARC
85,COSTES ET BELLONTE
84,CLOUTIERS
81,TANNERIES
80,JP JEAN
83,METZ-NORD GARE
82,FALOGNE
