arret_id,trajet_id,heure_depart,stop_sequence,terminus
20811,1707,1135,10,0
20478,598,705,4,0
20473,4282,895,10,0
20475,4282,894,9,0
20829,5416,1108,1,0
21191,3357,348,16,0
20818,4242,968,29,0
20100,5537,855,28,0
20306,4992,740,9,0
20754,2756,469,26,0
20102,5537,853,27,0
20107,5537,848,24,0
20310,4992,739,8,0
20318,4992,736,5,0
20316,4992,737,6,0
20292,823,777,12,0
20332,5745,549,17,0
20330,5745,547,16,0
21155,3861,334,9,0
21153,3861,336,10,0
21157,3861,332,8,0
20166,2269,1193,1,0
21156,3357,351,20,0
20632,4733,1135,1,0
20631,4733,1137,2,0
20824,4242,970,32,0
20009,1602,944,19,0
21154,3357,351,19,0
21205,3239,966,11,1
21101,722,1199,22,0
21422,4143,1243,2,0
21424,4143,1245,3,0
20853,5150,430,9,0
20016,1602,951,21,0
20854,5150,424,3,0
21163,3357,330,6,0
20615,4733,1140,5,0
20617,4733,1138,4,0
20619,4733,1138,3,0
20024,1602,940,18,0
20026,1602,951,22,0
20865,5150,422,2,0
20105,1221,557,1,0
20165,5537,852,26,0
20110,959,510,15,0
20350,4728,950,19,0
21157,5737,1112,8,0
21155,5737,1114,9,0
20068,3657,661,1,0
21153,5737,1115,10,0
20107,1881,512,21,0
20136,959,499,11,0
20668,2898,952,1,0
20754,305,615,25,0
20075,3657,669,9,0
20065,1602,923,4,0
20247,2191,1075,27,0
20063,1602,922,3,0
20067,1602,966,37,0
20080,3592,930,1,0
20002,3657,688,20,0
20075,2787,945,7,0
20070,1602,925,6,0
20072,1602,925,5,0
21164,722,1190,14,0
21166,722,1191,15,0
20855,1707,1126,6,0
20084,1602,929,9,0
20082,1602,927,7,0
21016,5131,950,9,0
20019,3657,683,19,0
21018,5131,949,8,0
21012,5131,947,7,0
20088,1602,930,11,0
21014,5131,944,5,0
20086,1602,930,10,0
20016,3657,694,22,0
20833,5416,1114,6,0
20830,5416,1111,3,0
21190,5737,1120,14,0
20440,2944,1085,2,0
20090,1602,931,12,0
20442,2944,1085,1,0
20092,1602,932,13,0
21204,3059,844,1,0
20099,2787,950,12,0
20094,1602,933,14,0
20096,1602,934,15,0
20026,3657,695,23,0
20099,1602,938,17,0
20098,1602,936,16,0
20296,2191,1046,12,0
21189,5737,1123,15,0
20844,5416,1109,2,0
20297,2191,1045,11,0
20292,2191,1047,13,0
20847,5416,1118,10,0
20295,5684,1221,4,0
21005,4618,884,6,0
20106,959,492,2,0
20306,2191,1037,6,0
20546,447,827,27,0
20544,447,827,26,0
20010,2260,868,15,0
21191,722,1182,7,0
20548,447,829,28,0
20550,447,831,29,0
21190,4869,774,23,0
20554,447,832,31,0
20552,447,832,30,0
20807,1495,494,3,0
20137,2456,328,1,0
20073,144,1185,1,0
20094,1221,586,20,0
20534,447,804,9,0
20536,447,805,10,0
20538,447,806,11,0
20540,447,807,12,0
20542,447,809,13,0
20297,287,763,11,0
20296,287,765,12,0
20019,2260,862,14,0
20978,1595,1089,1,0
20979,1595,1090,2,0
20290,287,778,17,0
20292,287,767,13,0
20286,287,782,19,0
21108,5300,717,9,0
20288,287,780,18,0
21107,5300,716,8,0
21105,5300,714,7,0
20076,144,1188,2,0
20985,1595,1092,4,0
21023,5131,943,4,0
20987,1595,1093,5,0
21020,5131,946,6,0
20981,1595,1090,3,0
20280,287,786,22,0
20983,1595,1095,6,0
20556,447,834,32,1
20284,287,783,20,0
20282,287,785,21,0
20634,3261,593,7,0
20278,287,787,23,0
20058,1881,521,26,0
20057,1881,520,25,0
20056,1881,519,24,0
21097,5131,965,15,0
20970,3510,538,15,0
20974,3510,539,16,1
21157,4869,766,17,0
20184,3360,748,15,0
21155,4869,768,18,0
20181,3360,745,12,0
20182,3360,747,14,0
21153,4869,769,19,0
20267,287,791,26,0
20269,287,790,25,0
20264,287,789,24,0
20265,287,792,27,0
20188,3360,750,16,0
20968,3510,537,14,0
21088,5131,959,11,0
20194,3360,752,18,0
20196,3360,766,24,0
20192,3360,752,17,0
20198,3360,767,25,0
21083,4618,883,5,0
20249,287,792,28,0
20024,2787,952,13,0
20021,1881,522,27,1
20020,1881,514,22,0
20296,3523,514,10,0
21189,4869,777,24,0
20292,3523,516,11,0
20290,3523,526,15,0
20330,3115,1086,32,0
20908,1595,1111,19,0
20028,5673,1046,3,0
20910,1595,1109,18,0
20912,1595,1108,17,0
20914,1595,1108,16,0
20034,5673,1051,6,0
20032,5673,1050,5,0
20030,5673,1047,4,0
21161,5814,427,13,0
21160,5814,426,11,0
20918,1595,1100,14,0
20518,4282,893,8,0
20916,1595,1107,15,0
20036,5673,1053,7,0
20921,1595,1097,8,0
20922,1595,1099,12,0
20920,1595,1100,13,0
20926,1595,1099,10,0
20923,1595,1097,9,0
20924,1595,1096,7,0
20295,966,810,4,0
20828,5150,421,1,0
20007,5673,1040,1,0
21185,5300,711,4,0
20161,3360,739,7,0
20163,3360,740,8,0
20247,2108,1203,36,0
20172,3360,742,10,0
20240,2108,1204,38,0
21170,5300,712,5,0
20242,2108,1203,37,0
20540,4733,1141,6,0
20542,4733,1144,7,0
20512,4004,878,23,0
20104,3592,931,2,0
20644,3261,625,25,0
20642,3261,622,23,0
20641,3261,621,22,0
20505,4004,883,29,0
20508,4004,885,31,1
20507,4004,884,30,0
20501,4004,882,28,0
