arret_id,trajet_id,heure_depart,stop_sequence,terminus
20879,2124,890,1,0
20878,2124,893,2,0
20876,2124,895,3,0
20874,2124,896,4,0
20872,2124,897,5,0
20870,2124,900,6,0
20880,2124,901,7,0
21099,2124,901,8,0
20886,2124,907,9,0
20607,2124,910,10,0
20609,2124,911,11,0
20611,2124,912,12,0
20613,2124,914,13,0
20039,2124,915,14,0
20037,2124,916,15,0
20035,2124,916,16,0
20033,2124,917,17,0
20031,2124,919,18,0
20029,2124,919,19,0
20330,2124,920,20,0
20196,2124,923,21,0
21212,2124,925,22,1
20879,3387,825,1,0
20878,3387,828,2,0
20876,3387,830,3,0
20874,3387,831,4,0
20872,3387,832,5,0
20870,3387,835,6,0
20880,3387,836,7,0
21099,3387,836,8,0
20592,3387,842,9,0
20590,3387,843,10,0
20588,3387,843,11,0
20586,3387,844,12,0
21551,3387,844,13,0
20601,3387,847,14,0
20607,3387,850,15,0
20609,3387,851,16,0
20611,3387,852,17,0
20613,3387,854,18,0
20039,3387,855,19,0
20037,3387,856,20,0
20035,3387,856,21,0
20033,3387,857,22,0
20031,3387,859,23,0
20029,3387,859,24,0
20330,3387,860,25,0
20196,3387,863,26,0
21212,3387,865,27,1
21209,3475,485,1,0
20197,3475,486,2,0
20331,3475,488,3,0
20028,3475,490,4,0
20030,3475,491,5,0
20032,3475,492,6,0
20034,3475,493,7,0
20036,3475,494,8,0
20614,3475,494,9,0
20612,3475,496,10,0
20610,3475,496,11,0
20608,3475,499,12,0
20606,3475,499,13,0
20885,3475,502,14,0
21098,3475,507,15,0
20805,3475,508,16,0
20869,3475,508,17,0
20871,3475,511,18,0
20873,3475,512,19,0
20875,3475,513,20,0
20877,3475,515,21,0
20879,3475,518,22,1
21209,2096,365,1,0
20197,2096,366,2,0
20331,2096,368,3,0
20028,2096,370,4,0
20030,2096,371,5,0
20032,2096,372,6,0
20034,2096,373,7,0
20036,2096,374,8,0
20614,2096,374,9,0
20612,2096,376,10,0
20610,2096,376,11,0
20608,2096,379,12,0
20606,2096,379,13,0
20885,2096,382,14,0
21098,2096,387,15,0
20805,2096,388,16,0
20869,2096,388,17,0
20871,2096,391,18,0
20873,2096,392,19,0
20875,2096,393,20,0
20877,2096,395,21,0
20879,2096,398,22,1
20879,3740,1040,1,0
20878,3740,1043,2,0
20876,3740,1045,3,0
20874,3740,1046,4,0
20872,3740,1047,5,0
20870,3740,1050,6,0
20880,3740,1051,7,0
21099,3740,1051,8,0
20886,3740,1057,9,0
20607,3740,1060,10,0
20609,3740,1061,11,0
20611,3740,1062,12,0
20613,3740,1064,13,0
20039,3740,1065,14,0
20037,3740,1066,15,0
20035,3740,1066,16,0
20033,3740,1067,17,0
20031,3740,1069,18,0
20029,3740,1069,19,0
20330,3740,1070,20,0
20196,3740,1073,21,0
21212,3740,1075,22,1
21209,3779,965,1,0
20197,3779,966,2,0
20331,3779,968,3,0
20028,3779,970,4,0
20030,3779,971,5,0
20032,3779,972,6,0
20034,3779,973,7,0
20036,3779,974,8,0
20614,3779,974,9,0
20612,3779,976,10,0
20610,3779,976,11,0
20608,3779,979,12,0
20606,3779,979,13,0
20600,3779,982,14,0
20567,3779,985,15,0
20587,3779,986,16,0
20589,3779,986,17,0
20591,3779,986,18,0
20593,3779,986,19,0
21098,3779,993,20,0
20805,3779,994,21,0
20869,3779,994,22,0
20871,3779,997,23,0
20873,3779,998,24,0
20875,3779,999,25,0
20877,3779,1001,26,0
20879,3779,1004,27,1
20879,3825,620,1,0
20878,3825,623,2,0
20876,3825,625,3,0
20874,3825,626,4,0
20872,3825,627,5,0
20870,3825,630,6,0
20880,3825,631,7,0
21099,3825,631,8,0
20886,3825,637,9,0
20607,3825,640,10,0
20609,3825,641,11,0
20611,3825,642,12,0
20613,3825,644,13,0
20039,3825,645,14,0
20037,3825,646,15,0
20035,3825,646,16,0
20033,3825,647,17,0
20031,3825,649,18,0
20029,3825,649,19,0
20330,3825,650,20,0
20196,3825,653,21,0
21212,3825,655,22,1
20879,3011,740,1,0
20878,3011,743,2,0
20876,3011,745,3,0
20874,3011,746,4,0
20872,3011,747,5,0
20870,3011,750,6,0
20880,3011,751,7,0
21099,3011,751,8,0
20886,3011,757,9,0
20607,3011,760,10,0
20609,3011,761,11,0
20611,3011,762,12,0
20613,3011,764,13,0
20039,3011,765,14,0
20037,3011,766,15,0
20035,3011,766,16,0
20033,3011,767,17,0
20031,3011,769,18,0
20029,3011,769,19,0
20330,3011,770,20,0
20196,3011,773,21,0
21212,3011,775,22,1
21209,3949,785,1,0
20197,3949,786,2,0
20331,3949,788,3,0
20028,3949,790,4,0
20030,3949,791,5,0
20032,3949,792,6,0
20034,3949,793,7,0
20036,3949,794,8,0
20614,3949,794,9,0
20612,3949,796,10,0
20610,3949,796,11,0
20608,3949,799,12,0
20606,3949,799,13,0
20885,3949,802,14,0
21098,3949,807,15,0
20805,3949,808,16,0
20869,3949,808,17,0
20871,3949,811,18,0
20873,3949,812,19,0
20875,3949,813,20,0
20877,3949,815,21,0
20879,3949,818,22,1
21209,3936,1145,1,0
20197,3936,1146,2,0
20331,3936,1148,3,0
20028,3936,1150,4,0
20030,3936,1151,5,0
