id,direction_id,ligne_id,calendrier_id,macro_direction
2177,24,55,2,0
3398,49,55,7,1
2227,49,55,2,1
2239,49,55,2,1
2010,49,55,7,1
3536,24,55,3,0
3551,24,55,3,0
2067,49,55,2,1
163,24,55,2,0
183,24,55,2,0
147,49,55,2,1
3808,24,55,2,0
3108,49,55,2,1
3190,24,55,2,0
2988,49,55,3,1
552,24,55,2,0
506,24,55,2,0
2856,49,55,7,1
1780,49,55,2,1
344,24,55,7,0
4854,49,55,2,1
4842,24,55,2,0
376,49,55,2,1
1461,24,55,2,0
293,49,55,7,1
4296,49,55,2,1
2531,24,55,7,0
5765,49,55,7,1
4265,24,55,2,0
1392,49,55,2,1
805,24,55,2,0
834,24,55,2,0
4124,49,55,2,1
5631,49,55,2,1
1298,49,55,2,1
2388,24,55,7,0
2663,49,55,2,1
5518,24,55,2,0
2637,24,55,3,0
647,24,55,7,0
4328,24,55,2,0
5340,49,55,2,1
5279,49,55,7,1
5120,24,55,2,0
3257,44,36,2,1
2171,44,36,2,1
3376,44,36,2,1
2237,44,36,2,1
3339,8,36,2,0
3322,8,36,2,0
3300,8,36,2,0
3489,44,36,2,1
3433,44,36,2,1
3439,44,36,2,1
2098,44,36,2,1
3542,44,36,2,1
3530,44,36,2,1
2024,8,36,2,0
3643,44,36,2,1
3648,44,36,2,1
3656,8,36,2,0
3705,8,36,2,0
3798,44,36,2,1
3782,44,36,2,1
3767,8,36,2,0
108,44,36,2,1
4974,44,36,2,1
4988,44,36,2,1
3016,8,36,2,0
3045,44,36,2,1
3070,44,36,2,1
3063,8,36,2,0
3921,44,36,2,1
3141,8,36,2,0
545,44,36,2,1
547,44,36,2,1
2970,44,36,2,1
1845,44,36,2,1
2966,8,36,2,0
1831,44,36,2,1
520,44,36,2,1
2992,44,36,2,1
2995,8,36,2,0
2983,44,36,2,1
2911,44,36,2,1
4712,44,36,2,1
4714,8,36,2,0
4662,44,36,2,1
1716,8,36,2,0
445,8,36,2,0
448,44,36,2,1
465,8,36,2,0
489,44,36,2,1
1627,44,36,2,1
1636,8,36,2,0
4891,44,36,2,1
1594,44,36,2,1
4862,44,36,2,1
392,44,36,2,1
222,44,36,2,1
1501,44,36,2,1
1572,8,36,2,0
1462,8,36,2,0
4768,8,36,2,0
5845,44,36,2,1
1412,44,36,2,1
1424,44,36,2,1
1426,44,36,2,1
1403,8,36,2,0
4291,44,36,2,1
2512,44,36,2,1
2537,44,36,2,1
4204,8,36,2,0
5749,44,36,2,1
4225,44,36,2,1
4252,44,36,2,1
2473,44,36,2,1
5717,8,36,2,0
